t, aX, aY, aZ, gX, gY, gZ
0.3000, -0.87, -0.09, 0.50, -0.91, -0.18, 0.37
0.3033, -0.88, -0.10, 0.51, -0.98, -0.18, 0.49
0.3067, -0.88, -0.08, 0.50, -1.22, 0.12, 0.79
0.3100, -0.87, -0.08, 0.51, -1.34, 0.43, 1.22
0.3133, -0.88, -0.08, 0.52, -1.46, 0.73, 1.59
0.3167, -0.89, -0.09, 0.52, -1.71, 1.04, 2.13
0.3200, -0.88, -0.08, 0.50, -1.95, 1.40, 2.50
0.3233, -0.87, -0.08, 0.51, -2.13, 1.52, 2.99
0.3267, -0.87, -0.08, 0.50, -2.32, 1.77, 3.48
0.3300, -0.87, -0.08, 0.50, -2.38, 2.01, 3.90
0.3333, -0.88, -0.07, 0.48, -2.38, 2.32, 4.27
0.3367, -0.88, -0.07, 0.50, -2.56, 2.44, 4.63
0.3400, -0.87, -0.07, 0.51, -2.50, 2.62, 5.06
0.3433, -0.86, -0.06, 0.51, -2.62, 2.68, 5.24
0.3467, -0.86, -0.06, 0.50, -2.56, 2.80, 5.30
0.3500, -0.86, -0.06, 0.52, -2.32, 2.62, 5.43
0.3533, -0.87, -0.04, 0.54, -2.26, 2.62, 5.24
0.3567, -0.85, -0.05, 0.51, -2.01, 2.62, 5.06
0.3600, -0.85, -0.05, 0.53, -1.77, 2.44, 4.76
0.3633, -0.86, -0.05, 0.52, -1.52, 2.38, 4.27
0.3667, -0.86, -0.05, 0.53, -1.04, 2.13, 3.96
0.3700, -0.85, -0.05, 0.54, -0.55, 2.07, 3.54
0.3733, -0.87, -0.05, 0.52, 0.06, 1.59, 3.11
0.3767, -0.86, -0.06, 0.51, 0.49, 1.40, 2.56
0.3800, -0.86, -0.06, 0.52, 0.98, 0.85, 2.26
0.3833, -0.87, -0.07, 0.53, 1.34, 0.49, 1.95
0.3867, -0.86, -0.07, 0.51, 1.52, 0.06, 1.83
0.3900, -0.87, -0.07, 0.51, 1.95, -0.37, 1.89
0.3933, -0.87, -0.08, 0.50, 2.07, -0.91, 1.71
0.3967, -0.88, -0.07, 0.52, 2.20, -1.16, 1.77
0.4000, -0.88, -0.07, 0.51, 2.07, -1.46, 1.77
0.4033, -0.89, -0.08, 0.50, 2.20, -1.59, 1.77
0.4067, -0.88, -0.08, 0.50, 1.89, -1.46, 1.83
0.4100, -0.88, -0.08, 0.51, 1.59, -1.34, 1.95
0.4133, -0.89, -0.08, 0.51, 1.22, -1.10, 1.95
0.4167, -0.88, -0.08, 0.51, 0.79, -0.55, 2.07
0.4200, -0.88, -0.08, 0.51, 0.49, 0.00, 2.07
0.4233, -0.88, -0.08, 0.52, 0.00, 0.73, 2.20
0.4267, -0.88, -0.08, 0.52, -0.43, 1.40, 2.13
0.4300, -0.88, -0.07, 0.50, -0.85, 2.01, 2.20
0.4333, -0.88, -0.08, 0.52, -1.46, 2.68, 2.44
0.4367, -0.88, -0.08, 0.53, -1.71, 3.48, 2.56
0.4400, -0.88, -0.08, 0.54, -2.01, 3.84, 2.80
0.4433, -0.88, -0.08, 0.50, -2.32, 4.15, 2.87
0.4467, -0.87, -0.08, 0.50, -2.44, 4.57, 3.05
0.4500, -0.88, -0.08, 0.50, -2.56, 4.51, 3.35
0.4533, -0.87, -0.08, 0.51, -2.62, 4.51, 3.48
0.4567, -0.88, -0.08, 0.50, -2.62, 4.45, 3.84
0.4600, -0.88, -0.08, 0.51, -2.44, 4.09, 3.96
0.4633, -0.87, -0.08, 0.50, -2.32, 3.78, 3.96
0.4667, -0.87, -0.08, 0.50, -1.95, 3.48, 3.96
0.4700, -0.87, -0.09, 0.51, -1.65, 3.23, 3.90
0.4733, -0.86, -0.08, 0.52, -1.10, 2.87, 3.90
0.4767, -0.86, -0.09, 0.51, -0.55, 2.74, 3.78
0.4800, -0.87, -0.08, 0.52, 0.00, 2.32, 3.78
0.4833, -0.87, -0.08, 0.52, 0.67, 1.95, 3.72
0.4867, -0.87, -0.09, 0.51, 1.40, 1.46, 3.72
0.4900, -0.88, -0.08, 0.50, 1.71, 0.98, 3.60
0.4933, -0.88, -0.08, 0.51, 2.20, 0.67, 3.60
0.4967, -0.89, -0.09, 0.53, 2.44, 0.24, 3.78
0.5000, -0.88, -0.09, 0.54, 2.80, -0.30, 3.90
0.5033, -0.88, -0.09, 0.51, 2.93, -0.79, 4.09
0.5067, -0.87, -0.08, 0.53, 3.23, -1.04, 4.21
0.5100, -0.88, -0.09, 0.52, 3.54, -1.16, 4.27
0.5133, -0.87, -0.08, 0.52, 3.90, -0.79, 4.39
0.5167, -0.86, -0.08, 0.51, 4.09, -0.61, 4.45
0.5200, -0.86, -0.07, 0.52, 3.96, -0.12, 4.45
0.5233, -0.86, -0.06, 0.50, 3.90, 0.37, 4.45
0.5267, -0.86, -0.07, 0.49, 3.72, 0.73, 4.57
0.5300, -0.86, -0.06, 0.49, 3.48, 1.28, 4.70
0.5333, -0.86, -0.06, 0.49, 2.87, 1.59, 4.63
0.5367, -0.85, -0.06, 0.49, 2.44, 2.01, 4.51
0.5400, -0.85, -0.06, 0.48, 1.89, 2.38, 4.76
0.5433, -0.86, -0.05, 0.50, 1.28, 2.74, 4.88
0.5467, -0.85, -0.04, 0.50, 0.79, 3.23, 4.94
0.5500, -0.86, -0.07, 0.48, 0.37, 3.48, 4.88
0.5533, -0.87, -0.06, 0.51, 0.00, 3.66, 4.82
0.5567, -0.87, -0.06, 0.51, -0.37, 3.78, 4.63
0.5600, -0.86, -0.06, 0.49, -0.79, 3.96, 4.63
0.5633, -0.88, -0.06, 0.49, -1.22, 4.02, 4.51
0.5667, -0.87, -0.06, 0.49, -1.65, 4.02, 4.39
0.5700, -0.86, -0.06, 0.48, -2.01, 4.09, 4.39
0.5733, -0.87, -0.07, 0.49, -2.32, 4.27, 4.27
0.5767, -0.88, -0.06, 0.50, -2.62, 4.39, 4.21
0.5800, -0.87, -0.07, 0.50, -2.99, 4.70, 4.09
0.5833, -0.88, -0.07, 0.50, -3.11, 4.94, 4.09
0.5867, -0.88, -0.07, 0.51, -3.41, 5.30, 4.21
0.5900, -0.89, -0.08, 0.51, -3.72, 5.85, 4.33
0.5933, -0.89, -0.08, 0.50, -3.90, 6.04, 4.45
0.5967, -0.88, -0.09, 0.50, -4.02, 6.10, 4.70
0.6000, -0.89, -0.08, 0.49, -3.84, 6.04, 4.88
0.6033, -0.90, -0.08, 0.51, -4.09, 5.98, 5.06
0.6067, -0.89, -0.08, 0.50, -4.21, 5.91, 5.30
0.6100, -0.89, -0.09, 0.52, -3.96, 5.67, 5.67
0.6133, -0.89, -0.08, 0.51, -3.84, 5.61, 5.98
0.6167, -0.87, -0.09, 0.51, -3.66, 5.49, 6.16
0.6200, -0.88, -0.09, 0.51, -3.48, 5.61, 6.28
0.6233, -0.88, -0.09, 0.49, -3.11, 5.85, 6.28
0.6267, -0.86, -0.08, 0.49, -2.99, 6.04, 6.34
0.6300, -0.87, -0.08, 0.50, -2.62, 6.16, 6.59
0.6333, -0.88, -0.08, 0.50, -2.44, 6.28, 6.71
0.6367, -0.87, -0.08, 0.48, -1.83, 6.28, 6.71
0.6400, -0.89, -0.08, 0.47, -1.65, 6.10, 6.77
0.6433, -0.88, -0.09, 0.49, -1.16, 6.04, 6.89
0.6467, -0.87, -0.08, 0.47, -0.67, 5.85, 6.89
0.6500, -0.88, -0.08, 0.47, -0.43, 5.61, 6.89
0.6533, -0.88, -0.09, 0.50, 0.12, 5.49, 7.01
0.6567, -0.87, -0.09, 0.48, 0.55, 5.24, 7.32
0.6600, -0.88, -0.08, 0.49, 1.04, 5.06, 7.56
0.6633, -0.88, -0.08, 0.48, 1.46, 4.94, 7.93
0.6667, -0.87, -0.08, 0.48, 1.65, 4.82, 8.35
0.6700, -0.87, -0.06, 0.48, 1.77, 4.57, 8.78
