t, aX, aY, aZ, gX, gY, gZ
0.3000, -1.00, 0.07, 0.09, 1.71, 0.12, -0.12
0.3033, -1.00, 0.08, 0.08, 1.77, 0.12, -0.12
0.3067, -1.00, 0.07, 0.07, 1.77, 0.30, -0.18
0.3100, -1.01, 0.08, 0.10, 1.83, 0.49, -0.18
0.3133, -1.01, 0.08, 0.09, 1.89, 0.37, -0.18
0.3167, -0.99, 0.08, 0.08, 1.83, 0.30, -0.12
0.3200, -1.00, 0.08, 0.08, 1.77, 0.37, -0.18
0.3233, -1.00, 0.08, 0.08, 1.77, 0.37, -0.12
0.3267, -1.00, 0.08, 0.07, 1.65, 0.49, -0.18
0.3300, -1.00, 0.07, 0.07, 1.77, 0.61, -0.06
0.3333, -1.00, 0.08, 0.08, 1.83, 0.61, -0.06
0.3367, -1.00, 0.08, 0.09, 1.95, 0.73, 0.00
0.3400, -1.00, 0.07, 0.08, 1.95, 0.67, -0.06
0.3433, -1.00, 0.08, 0.08, 1.95, 0.67, -0.06
0.3467, -1.00, 0.08, 0.08, 1.77, 0.73, -0.06
0.3500, -1.01, 0.07, 0.08, 1.71, 0.67, 0.06
0.3533, -1.01, 0.07, 0.08, 1.89, 0.67, 0.00
0.3567, -1.00, 0.08, 0.08, 1.59, 0.61, 0.00
0.3600, -1.00, 0.08, 0.08, 1.77, 0.55, 0.12
0.3633, -1.00, 0.07, 0.07, 1.77, 0.61, 0.12
0.3667, -1.00, 0.07, 0.08, 1.83, 0.49, 0.06
0.3700, -1.00, 0.08, 0.06, 1.83, 0.49, 0.00
0.3733, -1.00, 0.08, 0.08, 1.77, 0.37, -0.06
0.3767, -1.00, 0.07, 0.08, 1.65, 0.30, -0.12
0.3800, -1.00, 0.08, 0.07, 1.65, 0.24, 0.06
0.3833, -1.00, 0.07, 0.08, 1.59, 0.18, 0.06
0.3867, -1.00, 0.07, 0.08, 1.71, 0.18, -0.12
0.3900, -1.00, 0.08, 0.08, 1.83, 0.06, -0.06
0.3933, -1.01, 0.08, 0.07, 1.95, 0.06, -0.06
0.3967, -1.00, 0.08, 0.08, 1.77, 0.00, -0.18
0.4000, -1.00, 0.08, 0.08, 1.83, -0.24, -0.18
0.4033, -1.01, 0.08, 0.07, 1.77, -0.24, -0.06
0.4067, -0.98, 0.07, 0.08, 1.77, -0.24, -0.12
0.4100, -0.99, 0.07, 0.06, 1.71, -0.43, -0.06
0.4133, -1.01, 0.09, 0.07, 1.77, -0.30, -0.24
0.4167, -1.01, 0.07, 0.08, 1.83, -0.37, -0.12
0.4200, -1.00, 0.07, 0.08, 1.77, -0.67, -0.12
0.4233, -1.00, 0.07, 0.08, 1.83, -0.73, -0.06
0.4267, -1.00, 0.08, 0.07, 1.77, -0.61, -0.06
0.4300, -1.01, 0.07, 0.08, 1.77, -0.55, -0.06
0.4333, -1.01, 0.08, 0.06, 1.71, -0.79, 0.06
0.4367, -1.00, 0.07, 0.09, 1.59, -0.91, 0.06
0.4400, -1.01, 0.07, 0.10, 1.65, -0.85, -0.12
0.4433, -1.00, 0.07, 0.09, 1.65, -0.91, -0.18
0.4467, -1.00, 0.08, 0.08, 1.65, -0.85, 0.00
0.4500, -1.00, 0.08, 0.09, 1.83, -0.79, -0.06
0.4533, -1.00, 0.07, 0.07, 1.83, -0.91, -0.12
0.4567, -1.00, 0.07, 0.08, 1.83, -1.10, -0.12
0.4600, -1.02, 0.08, 0.09, 1.77, -0.98, -0.06
0.4633, -1.00, 0.08, 0.09, 1.52, -0.98, -0.24
0.4667, -1.00, 0.08, 0.08, 1.52, -0.98, -0.24
0.4700, -1.00, 0.08, 0.08, 1.59, -1.04, -0.24
0.4733, -1.00, 0.07, 0.08, 1.59, -0.91, -0.24
0.4767, -0.99, 0.07, 0.08, 1.77, -0.98, -0.12
0.4800, -1.00, 0.08, 0.08, 1.65, -0.98, -0.24
0.4833, -1.00, 0.09, 0.08, 1.65, -0.85, -0.18
0.4867, -1.00, 0.08, 0.07, 1.52, -0.85, -0.18
0.4900, -1.00, 0.08, 0.08, 1.40, -0.79, -0.30
0.4933, -1.00, 0.08, 0.08, 1.40, -0.85, -0.30
0.4967, -1.00, 0.07, 0.08, 1.52, -0.73, -0.37
0.5000, -1.00, 0.07, 0.08, 1.71, -0.79, -0.18
