t, aX, aY, aZ, gX, gY, gZ
0.3000, -0.27, -0.20, 0.98, 4.02, 0.91, -0.06
0.3033, -0.27, -0.20, 0.98, 3.78, 0.73, -0.67
0.3067, -0.27, -0.20, 0.98, 3.60, 0.37, -1.16
0.3100, -0.27, -0.20, 0.98, 3.35, 0.18, -1.52
0.3133, -0.26, -0.19, 0.97, 3.23, -0.18, -2.01
0.3167, -0.26, -0.19, 0.98, 2.93, -0.24, -2.38
0.3200, -0.27, -0.18, 0.98, 2.56, -0.43, -2.80
0.3233, -0.27, -0.17, 0.97, 2.32, -0.61, -2.87
0.3267, -0.27, -0.17, 0.96, 2.13, -0.79, -3.05
0.3300, -0.26, -0.17, 0.94, 1.89, -0.98, -3.11
0.3333, -0.26, -0.18, 0.95, 1.65, -0.98, -2.87
0.3367, -0.25, -0.16, 0.96, 1.65, -1.16, -2.87
0.3400, -0.25, -0.16, 0.95, 1.40, -0.98, -2.74
0.3433, -0.26, -0.17, 0.95, 1.28, -0.61, -2.38
0.3467, -0.25, -0.17, 0.95, 1.22, 0.00, -2.13
0.3500, -0.25, -0.17, 0.94, 1.10, 0.55, -1.83
0.3533, -0.25, -0.17, 0.92, 0.98, 1.04, -1.46
0.3567, -0.25, -0.17, 0.94, 1.22, 1.46, -1.16
0.3600, -0.24, -0.17, 0.93, 1.65, 2.20, -0.73
0.3633, -0.25, -0.18, 0.96, 1.77, 2.80, -0.43
0.3667, -0.26, -0.18, 0.94, 1.89, 3.23, -0.12
0.3700, -0.27, -0.17, 0.93, 1.83, 3.60, 0.00
0.3733, -0.26, -0.17, 0.95, 1.83, 4.02, 0.30
0.3767, -0.26, -0.18, 0.95, 1.65, 4.27, 0.24
0.3800, -0.26, -0.17, 0.96, 1.65, 4.63, 0.37
0.3833, -0.26, -0.18, 0.95, 1.46, 4.76, 0.49
0.3867, -0.26, -0.18, 0.96, 1.28, 4.70, 0.43
0.3900, -0.27, -0.18, 0.97, 1.16, 4.70, 0.37
0.3933, -0.27, -0.17, 0.97, 1.04, 4.63, 0.24
0.3967, -0.28, -0.18, 0.95, 0.85, 4.33, 0.18
0.4000, -0.27, -0.18, 0.99, 0.67, 3.84, 0.00
0.4033, -0.26, -0.17, 0.96, 0.85, 3.72, 0.12
0.4067, -0.29, -0.17, 0.98, 1.04, 3.72, 0.24
0.4100, -0.29, -0.17, 0.98, 1.04, 3.54, 0.18
0.4133, -0.28, -0.17, 0.97, 1.22, 3.05, 0.12
0.4167, -0.30, -0.18, 0.99, 0.98, 2.32, 0.24
0.4200, -0.28, -0.17, 0.99, 1.10, 1.83, 0.37
0.4233, -0.28, -0.17, 0.98, 1.22, 1.34, 0.37
0.4267, -0.28, -0.17, 0.97, 1.71, 1.04, 0.24
0.4300, -0.26, -0.17, 0.97, 2.01, 0.79, 0.00
0.4333, -0.27, -0.18, 0.98, 2.32, 0.49, -0.30
0.4367, -0.27, -0.18, 0.97, 2.44, 0.49, -0.85
0.4400, -0.27, -0.18, 0.98, 2.56, 0.43, -1.22
0.4433, -0.27, -0.18, 0.98, 2.93, 0.43, -1.34
0.4467, -0.27, -0.18, 0.97, 2.99, 0.37, -1.46
0.4500, -0.27, -0.17, 0.98, 3.23, 0.18, -1.71
0.4533, -0.26, -0.19, 0.96, 3.29, 0.06, -1.83
0.4567, -0.27, -0.17, 0.97, 3.35, 0.00, -1.95
0.4600, -0.26, -0.18, 0.96, 3.35, 0.12, -2.07
0.4633, -0.26, -0.17, 0.96, 3.35, 0.30, -2.32
0.4667, -0.25, -0.17, 0.97, 3.35, 0.61, -2.56
0.4700, -0.26, -0.16, 0.97, 3.29, 0.98, -2.56
0.4733, -0.27, -0.17, 0.96, 3.48, 1.10, -2.62
0.4767, -0.26, -0.16, 0.95, 3.41, 1.22, -2.80
0.4800, -0.26, -0.16, 0.95, 3.23, 1.40, -2.74
0.4833, -0.26, -0.16, 0.95, 3.29, 1.59, -2.56
0.4867, -0.26, -0.16, 0.97, 3.17, 1.71, -2.26
0.4900, -0.26, -0.16, 0.96, 3.05, 2.01, -2.13
0.4933, -0.26, -0.16, 0.96, 2.87, 2.32, -1.77
0.4967, -0.26, -0.16, 0.96, 2.93, 2.62, -1.34
0.5000, -0.26, -0.17, 0.95, 2.93, 2.93, -1.22
0.5033, -0.27, -0.16, 0.96, 2.93, 3.05, -0.98
0.5067, -0.27, -0.16, 0.96, 2.99, 3.17, -0.55
0.5100, -0.29, -0.17, 0.96, 2.93, 3.05, -0.12
0.5133, -0.28, -0.16, 0.97, 2.93, 2.99, 0.24
0.5167, -0.27, -0.16, 0.97, 2.80, 3.29, 0.55
0.5200, -0.27, -0.16, 0.96, 2.74, 2.93, 0.85
0.5233, -0.28, -0.15, 0.96, 2.56, 2.74, 1.10
0.5267, -0.27, -0.17, 0.98, 2.50, 2.38, 1.22
0.5300, -0.27, -0.17, 0.98, 2.50, 2.01, 1.46
0.5333, -0.28, -0.17, 0.98, 2.32, 1.71, 1.46
0.5367, -0.27, -0.18, 0.97, 2.07, 1.59, 1.46
0.5400, -0.27, -0.17, 0.97, 1.71, 1.28, 1.34
0.5433, -0.27, -0.19, 0.97, 1.46, 1.22, 0.98
0.5467, -0.26, -0.18, 0.97, 1.28, 0.98, 0.98
0.5500, -0.28, -0.18, 0.96, 0.98, 0.98, 0.79
0.5533, -0.27, -0.19, 0.96, 0.98, 0.73, 0.43
0.5567, -0.27, -0.18, 0.96, 0.85, 0.61, 0.06
0.5600, -0.26, -0.19, 0.96, 0.79, 0.43, -0.37
0.5633, -0.27, -0.20, 0.97, 0.91, 0.18, -0.67
0.5667, -0.26, -0.19, 0.96, 1.10, 0.18, -0.73
0.5700, -0.26, -0.19, 0.96, 1.34, 0.37, -0.98
0.5733, -0.25, -0.18, 0.95, 1.65, 0.43, -1.16
0.5767, -0.26, -0.19, 0.96, 2.01, 0.55, -1.22
0.5800, -0.27, -0.18, 0.95, 2.32, 0.73, -1.16
0.5833, -0.26, -0.18, 0.96, 2.93, 0.73, -1.16
0.5867, -0.26, -0.18, 0.94, 3.35, 0.91, -0.91
0.5900, -0.25, -0.19, 0.95, 3.78, 0.85, -0.85
0.5933, -0.25, -0.18, 0.96, 4.21, 0.85, -0.79
0.5967, -0.26, -0.17, 0.95, 4.45, 1.10, -0.79
0.6000, -0.26, -0.17, 0.95, 4.82, 1.16, -0.49
