t, aX, aY, aZ, gX, gY, gZ
0.3000, -0.50, 0.09, 0.84, 3.66, -10.85, -4.70
0.3033, -0.54, 0.09, 0.84, 3.78, -10.85, -4.51
0.3067, -0.54, 0.11, 0.85, 4.09, -10.49, -4.27
0.3100, -0.53, 0.10, 0.84, 3.96, -10.00, -3.54
0.3133, -0.53, 0.10, 0.87, 3.96, -9.39, -2.38
0.3167, -0.53, 0.10, 0.86, 4.02, -8.48, -1.59
0.3200, -0.53, 0.11, 0.86, 4.21, -7.68, -0.67
0.3233, -0.52, 0.10, 0.87, 4.45, -6.95, 0.00
0.3267, -0.52, 0.11, 0.86, 4.51, -6.46, 0.18
0.3300, -0.50, 0.11, 0.86, 4.51, -6.22, 0.24
0.3333, -0.50, 0.11, 0.85, 4.33, -5.79, -0.06
0.3367, -0.51, 0.12, 0.85, 4.02, -5.12, -0.37
0.3400, -0.50, 0.12, 0.85, 3.66, -4.39, -0.55
0.3433, -0.51, 0.11, 0.85, 3.23, -3.78, -0.73
0.3467, -0.53, 0.12, 0.86, 2.50, -2.93, -0.73
0.3500, -0.53, 0.11, 0.86, 2.07, -2.13, -0.49
0.3533, -0.54, 0.11, 0.85, 1.65, -1.52, -0.30
0.3567, -0.54, 0.11, 0.86, 1.40, -1.10, -0.12
0.3600, -0.53, 0.12, 0.85, 0.91, -1.10, 0.00
0.3633, -0.51, 0.11, 0.84, 0.37, -0.85, 0.18
0.3667, -0.52, 0.11, 0.84, 0.12, -0.55, 0.24
0.3700, -0.53, 0.10, 0.84, -0.12, -0.30, 0.06
0.3733, -0.54, 0.11, 0.84, -0.30, -0.24, -0.18
0.3767, -0.53, 0.10, 0.86, -0.43, -0.12, -0.18
0.3800, -0.53, 0.10, 0.86, -0.49, -0.24, -0.18
0.3833, -0.55, 0.10, 0.87, -0.55, -0.24, -0.18
0.3867, -0.55, 0.10, 0.88, -0.61, -0.43, -0.18
0.3900, -0.54, 0.09, 0.88, -0.61, -1.10, -0.18
0.3933, -0.54, 0.09, 0.89, -0.18, -1.83, -0.12
0.3967, -0.53, 0.09, 0.89, 0.24, -2.56, -0.49
0.4000, -0.53, 0.09, 0.90, 1.16, -3.35, -0.79
0.4033, -0.53, 0.10, 0.89, 1.95, -4.09, -1.16
0.4067, -0.52, 0.09, 0.92, 2.44, -4.82, -1.59
0.4100, -0.53, 0.06, 0.98, 3.17, -5.85, -1.89
0.4133, -0.53, 0.08, 0.90, 5.00, -7.26, -2.74
0.4167, -0.54, 0.14, 0.93, 6.95, -8.96, -3.96
0.4200, -0.61, 0.07, 0.89, 6.77, -10.73, -4.45
0.4233, -0.57, 0.07, 0.96, 7.07, -11.04, -2.68
0.4267, -0.52, 0.06, 0.89, 7.44, -9.88, -0.37
0.4300, -0.50, 0.07, 0.89, 8.90, -8.17, 1.95
0.4333, -0.56, 0.10, 0.94, 9.51, -7.20, 3.05
0.4367, -0.55, 0.12, 0.95, 8.90, -6.28, 2.93
0.4400, -0.54, 0.12, 0.88, 7.80, -5.67, 1.40
0.4433, -0.49, 0.12, 0.85, 6.59, -6.46, -0.43
0.4467, -0.58, 0.07, 0.80, 4.82, -7.68, -2.68
0.4500, -0.42, 0.10, 0.72, 4.51, -9.76, -3.41
0.4533, -0.50, 0.12, 0.83, 3.84, -11.95, -3.66
0.4567, -0.66, -0.00, 0.99, 3.66, -12.74, -2.44
0.4600, -0.51, -0.02, 0.75, 4.94, -12.93, -0.73
0.4633, -0.53, 0.06, 0.79, 6.40, -12.99, 0.37
0.4667, -0.56, 0.06, 0.82, 6.89, -12.62, 0.91
0.4700, -0.46, 0.10, 0.82, 5.98, -12.50, 1.40
0.4733, -0.54, 0.10, 0.86, 4.82, -12.20, 2.20
0.4767, -0.57, 0.12, 0.92, 4.94, -12.26, 2.74
0.4800, -0.51, 0.07, 0.72, 5.00, -12.07, 2.50
0.4833, -0.50, 0.13, 0.81, 5.30, -11.71, 2.62
0.4867, -0.53, 0.13, 0.95, 4.70, -11.40, 2.62
0.4900, -0.57, 0.17, 0.94, 3.48, -10.98, 2.93
0.4933, -0.59, 0.09, 1.01, 3.11, -10.91, 3.23
0.4967, -0.52, -0.17, 1.07, 3.05, -11.40, 2.44
0.5000, -0.32, 0.01, 0.90, 5.18, -12.80, 0.37
0.5033, -0.56, 0.26, 0.82, 10.00, -13.29, -5.49
0.5067, -0.60, 0.32, 0.95, 10.06, -14.70, -9.45
0.5100, -0.71, 0.14, 0.88, 5.43, -15.55, -8.54
0.5133, -0.61, 0.11, 0.94, 0.37, -13.84, -4.39
0.5167, -0.62, 0.07, 1.00, -1.34, -10.49, 0.61
0.5200, -0.70, 0.10, 0.94, -0.49, -7.26, 3.90
0.5233, -0.82, 0.02, 1.10, 0.37, -4.82, 5.55
0.5267, -0.53, 0.05, 0.80, 0.43, -3.60, 5.98
0.5300, -0.75, 0.10, 1.10, -0.85, -3.66, 4.51
0.5333, -0.70, 0.09, 1.00, -1.89, -2.62, 0.98
0.5367, -0.15, 0.22, 0.68, -2.56, -3.84, -1.83
0.5400, -0.49, 0.30, 0.88, -2.93, -5.61, -3.96
0.5433, -0.21, 0.10, 0.67, -2.07, -8.54, -5.43
0.5467, -0.60, 0.09, 0.86, 0.12, -10.49, -6.59
0.5500, -0.41, 0.08, 0.87, 1.59, -12.13, -6.59
0.5533, -0.42, 0.08, 0.71, 2.93, -12.44, -5.12
0.5567, -0.52, 0.10, 0.80, 3.48, -12.07, -2.99
0.5600, -0.49, 0.08, 0.84, 3.35, -11.46, -0.73
0.5633, -0.44, 0.05, 0.85, 2.74, -9.57, 1.22
0.5667, -0.51, 0.11, 0.90, 2.50, -7.62, 2.07
0.5700, -0.46, 0.07, 0.83, 2.38, -5.85, 1.83
0.5733, -0.48, 0.09, 0.85, 2.32, -4.57, 0.55
0.5767, -0.50, 0.10, 0.87, 1.40, -3.78, -1.04
0.5800, -0.48, 0.10, 0.89, -0.12, -3.54, -1.89
0.5833, -0.54, 0.12, 0.87, -0.67, -3.66, -2.44
0.5867, -0.49, 0.16, 0.86, -1.04, -4.21, -2.87
0.5900, -0.53, 0.13, 0.87, -1.65, -4.70, -2.68
0.5933, -0.55, 0.11, 0.85, -1.46, -4.76, -2.26
0.5967, -0.58, 0.08, 1.02, -1.04, -5.12, -1.40
0.6000, -0.45, 0.10, 0.79, 0.37, -5.18, -0.61
0.6033, -0.55, 0.13, 0.87, 1.59, -4.27, -0.55
0.6067, -0.56, 0.17, 0.86, 1.34, -4.02, -0.37
0.6100, -0.48, 0.12, 0.84, -0.49, -4.27, 0.00
0.6133, -0.51, 0.11, 0.83, -2.38, -4.88, 0.24
0.6167, -0.49, 0.09, 0.84, -3.05, -4.82, 0.12
0.6200, -0.50, 0.10, 0.85, -2.80, -4.21, -0.12
0.6233, -0.48, 0.09, 0.85, -2.07, -3.54, -0.79
0.6267, -0.52, 0.11, 0.84, -1.28, -2.62, -1.04
0.6300, -0.51, 0.13, 0.85, -0.91, -1.89, -1.10
0.6333, -0.52, 0.11, 0.87, -1.52, -1.83, -0.55
0.6367, -0.52, 0.13, 0.88, -1.77, -1.95, 0.06
0.6400, -0.30, 0.04, 0.80, -1.16, -2.07, 0.85
0.6433, -0.53, 0.08, 0.86, 1.52, -1.16, 1.77
0.6467, -0.52, 0.09, 0.85, 2.68, 0.37, 2.01
0.6500, -0.49, 0.09, 0.88, 2.68, 0.85, 3.48
0.6533, -0.51, 0.10, 0.88, 3.54, 2.07, 4.45
0.6567, -0.50, 0.15, 0.87, 4.02, 3.17, 5.06
0.6600, -0.53, 0.13, 0.85, 3.35, 3.23, 4.88
0.6633, -0.50, 0.09, 0.83, 2.13, 3.23, 4.15
0.6667, -0.51, 0.09, 0.85, 0.91, 3.48, 3.29
0.6700, -0.65, 0.06, 0.69, 0.06, 3.17, 3.05
0.6733, -0.61, -0.03, 0.81, -0.91, 2.93, 2.50
0.6767, -0.54, 0.09, 1.02, -0.12, 2.26, 4.27
0.6800, -0.60, 0.10, 0.83, -0.24, 0.73, 4.82
0.6833, -0.60, 0.11, 0.90, 0.91, -1.65, 5.85
0.6867, -0.52, 0.02, 0.83, 0.79, -2.44, 6.28
0.6900, -0.56, 0.13, 0.83, 0.24, -4.33, 5.85
0.6933, -0.58, 0.07, 0.88, 0.91, -6.83, 5.85
0.6967, -0.37, -0.03, 1.04, 1.28, -8.48, 5.67
0.7000, -0.44, 0.09, 0.86, -7.44, -13.35, 2.99
0.7033, -0.44, 0.08, 0.88, -7.38, -12.32, 2.74
0.7067, -0.44, 0.04, 0.90, -6.95, -10.43, 2.68
0.7100, -0.46, 0.09, 0.92, -5.91, -8.78, 2.56
0.7133, -0.42, 0.10, 0.87, -5.06, -7.50, 2.74
0.7167, -0.43, 0.08, 0.93, -4.33, -5.18, 3.05
0.7200, -0.39, 0.05, 0.95, -4.27, -2.26, 3.48
0.7233, -0.45, -0.02, 1.04, -3.05, 0.00, 3.60
